UniqueCode,QualQuantInc,CADIMA Ref,Author,Study,PubYear,Journal,Study ID,Fire,Grazing,Tourism,Elevation_Stated,Elevation_Est,Elev_Est_Lower,Elev_Est_Upper,Slope,Slope_New,Landform,Landform_Analysis,Aspect,Temperature,Rainfall,Snow,Bare ground,Studysite,Loc.y,Loc.x,Studysite.aggregate,StudySite.LatLong,Loc.y2,Loc.x2,Studysite.aggregate.2,Loc.y.2,Loc.x.2,Study design,Independence?,Study details,Sampling method,Scale,N,r,Other?,Reason for study,Initial ES?,Aggregate.InitialES,Aggregate.InitialES2,Shrub.Dominant,Treatment,TreatmentAggregate1,TreatmentAggregate2,Treatment_Thematic,Treatment_Thematic1,TimeSinceFire...50,TimeSinceGrazing,Response,Family,Form.Category,Alpine.Zone,Alpine.Zone2,Region,Groundwater Association,Ecosystem Types,Seeder.Resprouter,Seeder.Resprouter2,Old.Response,Response.Level,Metric,Metric-Notes,Metric.Aggregate,Metric.Aggregate.Old,QualDirection,Control.Exposure,Design,Year.Initial,Mean...71,SD...72,Year.Final,Mean...74,SD...75,TimeSpan,MeanChange...77,AnnualChange,StandardisedAnnualChange,StandardisedAnnualChange.2,MeanChange...81,TimeSinceFire.New,Climate,Climate.Confounding?,Grazing.Confounding,ID,RainJuly,RainJan,JanTempMin,JanTempMax,JulyTempMin,JulyTempMax
252,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Bellendena montana,Proteaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine",Both,"Bogs, Fjaeldmark, Heathland",Fire killed,No fire tolerance,Bellendena montana,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Reduce,Control,CI,1981,0.066666667,0.081649658,1981,0.633333333,1.132548748,9,0.56666666666666665,6.2962962962962957E-2,6.2962962962962957E-2,0.062963,0.566666667,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
252,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Bellendena montana,Proteaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine",Both,"Bogs, Fjaeldmark, Heathland",Fire killed,No fire tolerance,Bellendena montana,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Reduce,Exposure,CI,1981,0.633333333,1.132548748,1981,0.066666667,0.081649658,9,-0.56666666666666665,-6.2962962962962957E-2,-6.2962962962962957E-2,-0.062963,-0.566666667,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
253,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Olearia ledifolia,Asteraceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine",Dry,,Fire killed,No fire tolerance,Olearia ledifolia,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Promote,Control,CI,1981,1.183333333,1.926049497,1981,0.766666667,0.956382071,9,-0.41666666666666663,-4.6296296296296294E-2,-4.6296296296296294E-2,-0.046296,-0.416666667,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
253,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Olearia ledifolia,Asteraceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine",Dry,,Fire killed,No fire tolerance,Olearia ledifolia,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Promote,Exposure,CI,1981,0.766666667,0.956382071,1981,1.183333333,1.926049497,9,0.41666666666666663,4.6296296296296294E-2,4.6296296296296294E-2,0.046296,0.416666667,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
254,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Trochocarpa cunninghamii,Ericaceae,Mat,Non-alpine,Non-alpine,"Montane, Nonalpine",Both,,Fire killed,No fire tolerance,Trochocarpa cunninghamii,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Reduce,Control,CI,1981,0.066666667,0.081649658,1981,0.983333333,1.284393501,9,0.91666666666666674,0.10185185185185186,0.10185185185185186,0.101852,0.916666667,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
254,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Trochocarpa cunninghamii,Ericaceae,Mat,Non-alpine,Non-alpine,"Montane, Nonalpine",Both,,Fire killed,No fire tolerance,Trochocarpa cunninghamii,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Reduce,Exposure,CI,1981,0.983333333,1.284393501,1981,0.066666667,0.081649658,9,-0.91666666666666674,-0.10185185185185186,-0.10185185185185186,-0.101852,-0.916666667,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
255,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Bauera rubioides,Cunoniaceae,Tall,Subalpine,Subalpine,"Subalpine, Non-alpine",Dry,,Resprouter,Resprouter,Bauera rubioides,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Promote,Control,CI,1981,2.716666667,4.66622617,1981,1.183333333,1.878740713,9,-1.533333333333333,-0.17037037037037034,-0.17037037037037034,-0.17037,-1.533333333,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
255,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Bauera rubioides,Cunoniaceae,Tall,Subalpine,Subalpine,"Subalpine, Non-alpine",Dry,,Resprouter,Resprouter,Bauera rubioides,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Promote,Exposure,CI,1981,1.183333333,1.878740713,1981,2.716666667,4.66622617,9,1.533333333333333,0.17037037037037034,0.17037037037037034,0.17037,1.533333333,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
256,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Richea pandanifo,Ericaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine, Montane, Nonalpine",Dry,,Fire killed,No fire tolerance,Richea pandanifo,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Reduce,Control,CI,1981,0.066666667,0.081649658,1981,1.283333333,2.1207703,9,1.2166666666666668,0.13518518518518519,0.13518518518518519,0.135185,1.216666667,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
256,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Richea pandanifo,Ericaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine, Montane, Nonalpine",Dry,,Fire killed,No fire tolerance,Richea pandanifo,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Reduce,Exposure,CI,1981,1.283333333,2.1207703,1981,0.066666667,0.081649658,9,-1.2166666666666668,-0.13518518518518519,-0.13518518518518519,-0.135185,-1.216666667,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
257,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Tasmannia lanceolata,Winteraceae,Tall,Subalpine,Subalpine,"Subalpine, Montane, Nonalpine",Both,"Heathland, rainforest, forest",Both,Resprouter,Drimys lanceolata,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Reduce,Control,CI,1981,1.383333333,1.996413451,1981,1.583333333,2.320703916,9,0.19999999999999973,2.2222222222222192E-2,2.2222222222222192E-2,0.022222,0.2,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
257,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Tasmannia lanceolata,Winteraceae,Tall,Subalpine,Subalpine,"Subalpine, Montane, Nonalpine",Both,"Heathland, rainforest, forest",Both,Resprouter,Drimys lanceolata,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Reduce,Exposure,CI,1981,1.583333333,2.320703916,1981,1.383333333,1.996413451,9,-0.19999999999999973,-2.2222222222222192E-2,-2.2222222222222192E-2,-0.022222,-0.2,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
258,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Prosphaera hookeriana,Podocarpaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine, Montane, Nonalpine",Both,,Fire killed,No fire tolerance,Microstrobus niphophilus,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Reduce,Control,CI,1981,0.05,0.122474487,1981,1.666666667,4.082482905,9,1.6166666666666667,0.17962962962962964,0.17962962962962964,0.17963,1.616666667,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
258,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Prosphaera hookeriana,Podocarpaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine, Montane, Nonalpine",Both,,Fire killed,No fire tolerance,Microstrobus niphophilus,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Reduce,Exposure,CI,1981,1.666666667,4.082482905,1981,0.05,0.122474487,9,-1.6166666666666667,-0.17962962962962964,-0.17962962962962964,-0.17963,-1.616666667,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
259,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Orites revolutus,Proteaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine",Dry,Heathland,Seeder / Soil seed bank,Obligate Seeder,Orites revoluta,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Reduce,Control,CI,1981,0.683333333,1.062857783,1981,1.716666667,1.947733726,9,1.0333333333333337,0.11481481481481486,0.11481481481481486,0.114815,1.033333333,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
259,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Orites revolutus,Proteaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine",Dry,Heathland,Seeder / Soil seed bank,Obligate Seeder,Orites revoluta,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Reduce,Exposure,CI,1981,1.716666667,1.947733726,1981,0.683333333,1.062857783,9,-1.0333333333333337,-0.11481481481481486,-0.11481481481481486,-0.114815,-1.033333333,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
260,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Podocarpus lawrencei,Podocarpaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine",Dry,,Seeder / Soil seed bank,Obligate Seeder,Podocarpus lawrencii,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Reduce,Control,CI,1981,0.05,0.122474487,1981,1.75,3.091763251,9,1.7,0.18888888888888888,0.18888888888888888,0.188889,1.7,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
260,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Podocarpus lawrencei,Podocarpaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine",Dry,,Seeder / Soil seed bank,Obligate Seeder,Podocarpus lawrencii,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Reduce,Exposure,CI,1981,1.75,3.091763251,1981,0.05,0.122474487,9,-1.7,-0.18888888888888888,-0.18888888888888888,-0.188889,-1.7,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
261,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Richea milliganii,Ericaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine, Montane",Dry,,Fire killed,No fire tolerance,Richea milliganii,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Reduce,Control,CI,1981,0.45,1.102270384,1981,2,4.898979486,9,1.55,0.17222222222222222,0.17222222222222222,0.172222,1.55,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
261,Quant+Qual,Manual3,Kirkpatrick & Dickinson 1987,Kirkpatrick & Dickinson 1987,1987,,1,Partial 1971,Unspecified,Unspecified,Unspecified,1200-1600,1200,1600,Summit,Summit,Peak,Slope / Peak,Summit,Unspecified,Unspecified,Unspecified,Unspecified,"Mt Read and Mt Field, Tasmania",-42.34479432,146.1214755,"Multiple, Tasmania","-42.101915231326544, 146.67128556749628",-42.10191523,146.6712856,Tasmania,-42.10191523,146.6712856,CI,1 Impact control,"paired 5m2 quadrats on each summit, 3-10 replicates, 6 sited","Field, observational",Multiple sites,98,6,,,Heathland (dry) / Grassland,Heathland (dry) / Grassland,Heathland / Grassland,Shrub-dominant,"Fire (3 - 15 years ago, median: 9 years)",Fire ( < 20 ya),Fire,Fire,Fire,9,NA,Richea milliganii,Ericaceae,Tall,Alpine Subalpine,Alpine Subalpine,"Alpine, Subalpine, Montane",Dry,,Fire killed,No fire tolerance,Richea milliganii,Species,Mean percentage cover,Mean percentage cover Table 1,Cover,Cover,Reduce,Exposure,CI,1981,2,4.898979486,1981,0.45,1.102270384,9,-1.55,-0.17222222222222222,-0.17222222222222222,-0.172222,-1.55,9,Omit CI design,Omit CI design,No,Tasmania 1981,142.1999969,32.77500153,8,21.25,-0.5,6.25
